Title=free-surface from YAEYAMA2 Test Case				
				
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"				
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)			
558835200	0.327361
558838784	0.246633
558842368	0.292613
558846016	0.453344
558849600	0.688393
558853184	0.947946
558856832	1.176689
558860416	1.322943
558864000	1.354964
558867584	1.276454
558871168	1.113034
558874816	0.928093
558878400	0.779978
558881984	0.70373	
558885632	0.731096
558889216	0.860706
558892800	1.060969
558896384	1.290884
558899968	1.48842	
558903616	1.589656
558907200	1.567144
558910784	1.401147
558914432	1.126848
558918016	0.804025
558921600	0.498992
558925184	0.276655
558928768	0.184028
558932416	0.238281
558936000	0.430209
558939584	0.71865	
558943232	1.031082
558946816	1.297164
558950400	1.453405
558953984	1.458897
558957568	1.323213
558961216	1.093782
558964800	0.841552
558968384	0.646952
558972032	0.551493
558975616	0.580918
558979200	0.750308
558982784	1.012574
558986368	1.295368
558990016	1.535747
558993600	1.663579
558997184	1.626983
559000832	1.425578
559004416	1.095042
559008000	0.712442
559011584	0.369594
559015168	0.137264
559018816	0.066384
559022400	0.170386
559025984	0.423694
559029632	0.763233
559033216	1.105828
559036800	1.376686
559040384	1.498064
559043968	1.441991
559047616	1.223261
559051200	0.913161
559054784	0.611243
559058432	0.396204
559062016	0.32464	
559065600	0.430529
559069184	0.67456	
559072768	0.999021
559076416	1.344751
559080000	1.627597
559083584	1.752948
559087232	1.677777
559090816	1.429388
559094400	1.061896
559097984	0.659867
559101568	0.328431
559105216	0.127168
559108800	0.111312
559112384	0.282169
559116032	0.593665
559119616	0.962951
559123200	1.310192
559126784	1.539076
559130368	1.601245
559134016	1.471688
559137600	1.196113
559141184	0.849552
559144832	0.542678
559148416	0.354721
559152000	0.329043
559155584	0.480678
559159168	0.768601
559162816	1.131429
559166400	1.473913
559169984	1.709248
559173632	1.778205
559177216	1.647794
559180800	1.342257
559184384	0.943657
559187968	0.555851
559191616	0.268316
559195200	0.143283
559198784	0.20945	
559202432	0.449936
559206016	0.805598
559209600	1.181314
559213184	1.490404
559216768	1.645249
559220416	1.603231
559224000	1.374926
559227584	1.024327
559231232	0.652162
559234816	0.364686
559238400	0.227831
559241984	0.269452
559245568	0.492399
