Title=free-surface from YAEYAMA2 Test Case					
					
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"					
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)				
590371200	0.681653
590374784	0.811569
590378368	0.866834
590382016	0.838608
590385600	0.743628
590389184	0.611169
590392832	0.4969	
590396416	0.428413
590400000	0.42505	
590403584	0.486644
590407168	0.608574
590410816	0.758934
590414400	0.907683
590417984	1.012197
590421632	1.043541
590425216	0.993701
590428800	0.865784
590432384	0.686753
590435968	0.490672
590439616	0.326768
590443200	0.215957
590446784	0.178482
590450432	0.210758
590454016	0.302447
590457600	0.419453
590461184	0.533306
590464768	0.616149
590468416	0.652945
590472000	0.652993
590475584	0.628011
590479232	0.580764
590482816	0.538347
590486400	0.516824
590489984	0.53338	
590493568	0.592127
590497216	0.682958
590500800	0.782774
590504384	0.867765
590508032	0.918038
590511616	0.922675
590515200	0.877116
590518784	0.787068
590522368	0.656679
590526016	0.517682
590529600	0.389593
590533184	0.291876
590536832	0.239359
590540416	0.238717
590544000	0.282467
590547584	0.355331
590551168	0.444563
590554816	0.525889
590558400	0.597392
590561984	0.641621
590565632	0.662186
590569216	0.656027
590572800	0.641397
590576384	0.626407
590579968	0.618384
590583616	0.632807
590587200	0.66942	
590590784	0.724618
590594432	0.785739
590598016	0.84143	
590601600	0.878513
590605184	0.881976
590608768	0.836103
590612416	0.743336
590616000	0.616337
590619584	0.473372
590623232	0.343863
590626816	0.25042	
590630400	0.206182
590633984	0.217362
590637568	0.282686
590641216	0.387207
590644800	0.5079	
590648384	0.623307
590652032	0.715216
590655616	0.766807
590659200	0.774527
590662784	0.744008
590666368	0.692367
590670016	0.64294	
590673600	0.615551
590677184	0.621098
590680832	0.661851
590684416	0.727882
590688000	0.807646
590691584	0.874602
590695168	0.906823
590698816	0.886021
590702400	0.804493
590705984	0.671223
590709632	0.504761
590713216	0.343285
590716800	0.215989
590720384	0.152258
590723968	0.164462
590727616	0.249493
590731200	0.395811
590734784	0.566624
590738432	0.725552
590742016	0.839828
590745600	0.885506
590749184	0.86006	
590752768	0.784419
590756416	0.683704
590760000	0.587301
590763584	0.528532
590767232	0.526133
590770816	0.586029
590774400	0.699779
590777984	0.828855
590781568	0.939912
590785216	0.997174
590788800	0.974528
590792384	0.865886
590796032	0.684455
590799616	0.464943
590803200	0.262824
590806784	0.117127
590810368	0.066181
590814016	0.118628
590817600	0.26692	
590821184	0.471688
590824832	0.689454
590828416	0.870589
590832000	0.9764	
590835584	0.983856
590839168	0.904533
590842816	0.760144
590846400	0.603668
590849984	0.469546
590853632	0.405193
590857216	0.432111
590860800	0.546954
590864384	0.713182
590867968	0.894186
590871616	1.028816
590875200	1.081689
590878784	1.020185
590882432	0.849026
590886016	0.607503
590889600	0.339766
590893184	0.114315
590896768	-0.02030
590900416	-0.02858
590904000	0.090686
590907584	0.308504
590911232	0.569521
590914816	0.821999
590918400	1.000987
590921984	1.071662
590925568	1.0114	
590929216	0.852369
590932800	0.644604
590936384	0.439697
590940032	0.298617
590943616	0.265504
590947200	0.35692	
590950784	0.543864
590954368	0.78053	
590958016	0.99566	
590961600	1.133276
590965184	1.14791	
590968832	1.024077
590972416	0.786375
590976000	0.484904
590979584	0.191266
590983168	-0.02262
590986816	-0.10887
590990400	-0.04270
590993984	0.162446
590997632	0.448409
591001216	0.743363
591004800	0.990068
591008384	1.119841
591011968	1.102566
591015616	0.95029	
591019200	0.711478
591022784	0.455192
591026432	0.247828
591030016	0.150918
591033600	0.196454
591037184	0.377733
591040768	0.648433
591044416	0.936138
591048000	1.171423
591051584	1.282275
591055232	1.231819
591058816	1.032394
591062400	0.725086
591065984	0.383621
591069568	0.086346
591073216	-0.08835
591076800	-0.10156
591080384	0.051542
591084032	0.330166
591087616	0.663875
591091200	0.958021
591094784	1.151395
591098368	1.201075
591102016	1.092557
591105600	0.854647
591109184	0.558408
591112832	0.273225
591116416	0.083916
591120000	0.051615
591123584	0.184366
591127168	0.45398	
591130816	0.790116
591134400	1.098376
591137984	1.309197
591141632	1.360137
591145216	1.233083
591148800	0.960616
591152384	0.602821
591155968	0.254429
591159616	-0.00813
591163200	-0.10286
591166784	-0.01533
591170432	0.230789
591174016	0.573144
591177600	0.9174	
591181184	1.182122
591184768	1.304951
591188416	1.250252
591192000	1.037498
591195584	0.714319
591199232	0.364911
591202816	0.085775
591206400	-0.04431
591209984	0.011684
591213568	0.238224
591217216	0.573819
591220800	0.927845
591224384	1.222347
591228032	1.37657	
591231616	1.355742
591235200	1.150852
591238784	0.832645
591242368	0.459858
591246016	0.131314
591249600	-0.05204
591253184	-0.04672
591256832	0.135711
591260416	0.4508	
591264000	0.813042
591267584	1.133617
591271168	1.33232	
591274816	1.354118
591278400	1.196609
591281984	0.899174
591285632	0.531057
591289216	0.191183
591292800	-0.03530
591296384	-0.08381
591299968	0.052498
591303616	0.341562
591307200	0.715406
591310784	1.064134
591314432	1.304567
591318016	1.382762
591321600	1.280594
591325184	1.021336
591328768	0.671521
591332416	0.321711
591336000	0.061887
591339584	-0.02354
591343232	0.081375
591346816	0.339624
591350400	0.688596
591353984	1.035102
591357568	1.303331
591361216	1.414297
591364800	1.34351	
591368384	1.108836
591372032	0.761006
591375616	0.388716
591379200	0.076381
591382784	-0.08502
591386368	-0.05241
591390016	0.157645
591393600	0.50041	
591397184	0.880743
591400832	1.195688
591404416	1.384171
591408000	1.401595
591411584	1.249228
591415168	0.977807
591418816	0.652078
591422400	0.354151
591425984	0.174999
591429632	0.165263
591433216	0.335494
591436800	0.632371
591440384	0.973941
591443968	1.273947
591447616	1.459387
591451200	1.473531
591454784	1.317638
591458432	1.029887
591462016	0.67426	
591465600	0.339516
591469184	0.105626
591472768	0.040813
591476416	0.152013
591480000	0.405738
591483584	0.748787
591487232	1.086557
591490816	1.342379
591494400	1.452308
591497984	1.391976
591501568	1.195296
591505216	0.911519
591508800	0.60832	
591512384	0.370451
591516032	0.2613	
591519616	0.312577
591523200	0.504498
591526784	0.780254
591530368	1.06038	
591534016	1.269752
591537600	1.351799
591541184	1.278595
591544832	1.059131
591548416	0.740618
591552000	0.385708
591555584	0.078015
591559168	-0.10797
591562816	-0.12623
591566400	0.010502
591569984	0.25688	
591573632	0.556941
591577216	0.834399
591580800	1.034486
591584384	1.114002
591587968	1.056857
591591616	0.893168
591595200	0.669707
591598784	0.457655
591602432	0.313224
591606016	0.277361
591609600	0.368424
591613184	0.556712
591616768	0.78795	
591620416	1.005378
591624000	1.145576
591627584	1.162302
591631232	1.047268
591634816	0.806865
591638400	0.495204
591641984	0.179038
591645568	-0.07719
591649216	-0.21191
591652800	-0.20416
591656384	-0.07474
591660032	0.142935
591663616	0.397319
591667200	0.632497
591670784	0.800621
591674368	0.866381
591678016	0.829965
591681600	0.715726
591685184	0.561994
591688832	0.413295
591692416	0.31948	
591696000	0.315672
591699584	0.407443
591703168	0.573821
591706816	0.767782
591710400	0.934242
591713984	1.037436
591717632	1.043289
591721216	0.947222
591724800	0.755204
591728384	0.499966
591731968	0.235979
591735616	0.016498
591739200	-0.11571
591742784	-0.13800
591746432	-0.05729
591750016	0.102617
591753600	0.302048
591757184	0.491704
591760768	0.636278
591764416	0.712987
591768000	0.719155
591771584	0.662673
591775232	0.56401	
591778816	0.464925
591782400	0.401711
591785984	0.399689
591789568	0.468036
591793216	0.594107
591796800	0.747081
591800384	0.89158	
591804032	0.993532
591807616	1.022257
591811200	0.969919
591814784	0.837634
591818368	0.641239
591822016	0.41862	
591825600	0.213073
591829184	0.064658
591832832	0.000871
591836416	0.026843
591840000	0.130536
591843584	0.288674
591847168	0.467705
591850816	0.629903
591854400	0.754188
591857984	0.816113
591861632	0.806651
591865216	0.746815
591868800	0.655879
591872384	0.571601
591875968	0.523689
591879616	0.533953
591883200	0.605193
591886784	0.722775
591890432	0.856849
591894016	0.978692
591897600	1.057186
591901184	1.062191
591904768	0.985602
591908416	0.840209
591912000	0.64406	
591915584	0.434965
591919232	0.249104
591922816	0.132111
591926400	0.107999
591929984	0.179406
591933568	0.334512
591937216	0.535075
591940800	0.744677
591944384	0.917725
591948032	1.022199
591951616	1.038006
591955200	0.970634
591958784	0.845162
591962368	0.710731
591966016	0.602581
591969600	0.551202
591973184	0.585708
591976832	0.687724
591980416	0.828948
591984000	0.987311
591987584	1.114616
591991168	1.151027
591994816	1.099897
591998400	0.948555
592001984	0.717416
592005632	0.454753
592009216	0.206608
592012800	0.023696
592016384	-0.04490
592019968	0.009323
592023616	0.168657
592027200	0.40152	
592030784	0.656241
592034432	0.865789
592038016	0.979427
592041600	0.979224
592045184	0.874274
592048768	0.691326
592052416	0.49068	
592056000	0.323704
592059584	0.24485	
592063232	0.274409
592066816	0.413899
592070400	0.62961	
592073984	0.861428
592077568	1.051183
592081216	1.149968
592084800	1.11878	
592088384	0.948731
592092032	0.670116
592095616	0.345998
592099200	0.045518
592102784	-0.15508
592106368	-0.21004
592110016	-0.1125	
592113600	0.116858
592117184	0.425042
592120832	0.731801
592124416	0.972813
592128000	1.088956
592131584	1.050151
592135168	0.87045	
592138816	0.60481	
592142400	0.322873
592145984	0.102632
592149632	0.010013
592153216	0.068319
592156800	0.269708
592160384	0.564636
592163968	0.874496
592167616	1.118328
592171200	1.235745
592174784	1.184467
592178432	0.97333	
592182016	0.643185
592185600	0.274965
592189184	-0.04540
592192768	-0.24678
592196416	-0.27665
592200000	-0.12566
592203584	0.158864
592207232	0.507458
592210816	0.837588
592214400	1.056147
592217984	1.119616
592221568	1.004928
592225216	0.745273
592228800	0.410582
592232384	0.086452
592236032	-0.13918
592239616	-0.20341
592243200	-0.08376
592246784	0.190308
592250368	0.545707
592254016	0.895147
592257600	1.148154
592261184	1.240828
592264832	1.146716
592268416	0.879085
592272000	0.501109
592275584	0.11061	
592279168	-0.19628
592282816	-0.34396
592286400	-0.29466
592289984	-0.05877
592293632	0.304019
592297216	0.696198
592300800	1.018426
592304384	1.201669
592307968	1.188018
592311616	0.988994
592315200	0.652696
592318784	0.266484
592322432	-0.06097
592326016	-0.24932
592329600	-0.24673
592333184	-0.04883
592336768	0.293498
592340416	0.693127
592344000	1.049879
592347584	1.282854
592351232	1.325446
592354816	1.16647	
592358400	0.841662
592361984	0.434554
592365568	0.047925
592369216	-0.22223
592372800	-0.30076
592376384	-0.17905
592380032	0.115904
592383616	0.500742
592387200	0.881417
592390784	1.150364
592394368	1.250864
592398016	1.146366
592401600	0.856422
592405184	0.461455
592408832	0.059538
592412416	-0.24504
592416000	-0.37555
592419584	-0.28913
592423168	-0.01794
592426816	0.374103
592430400	0.783407
592433984	1.122689
592437632	1.307487
592441216	1.285537
592444800	1.064136
592448384	0.713232
592451968	0.316626
592455616	-0.02028
592459200	-0.20258
592462784	-0.18354
592466432	0.027575
592470016	0.373312
592473600	0.756073
592477184	1.08037	
592480768	1.262313
592484416	1.250431
592488000	1.037547
592491584	0.678193
592495232	0.252515
592498816	-0.12180
592502400	-0.36866
592505984	-0.41921
592509568	-0.26035
592513216	0.05964	
592516800	0.460709
592520384	0.848092
592524032	1.122162
592527616	1.233072
592531200	1.153615
592534784	0.897312
592538368	0.555547
592542016	0.208496
592545600	-0.04017
592549184	-0.13431
592552832	-0.03548
592556416	0.226189
592560000	0.567378
592563584	0.905909
592567168	1.147256
592570816	1.224876
592574400	1.123096
592577984	0.848507
592581632	0.46252	
592585216	0.061626
592588800	-0.26596
592592384	-0.43926
592595968	-0.41270
592599616	-0.20549
592603200	0.132829
592606784	0.513932
592610432	0.834579
592614016	1.031748
592617600	1.054788
592621184	0.91679	
592624768	0.662516
592628416	0.359652
592632000	0.088128
592635584	-0.06645
592639232	-0.05738
592642816	0.119751
592646400	0.409955
592649984	0.738393
592653568	1.013654
592657216	1.159271
592660800	1.148435
592664384	0.984619
592668032	0.667308
592671616	0.287191
592675200	-0.06604
592678784	-0.30878
592682368	-0.39468
592686016	-0.30544
592689600	-0.06681
592693184	0.247279
592696832	0.558129
592700416	0.798464
592704000	0.92256	
592707584	0.900339
592711168	0.747822
592714816	0.513082
592718400	0.269977
592721984	0.091091
592725632	0.033489
592729216	0.121169
592732800	0.331264
592736384	0.600631
592739968	0.866857
592743616	1.058997
592747200	1.12797	
592750784	1.054354
592754432	0.839218
592758016	0.53091	
592761600	0.200754
592765184	-0.07804
592768768	-0.25193
592772416	-0.27272
592776000	-0.14747
592779584	0.078231
592783232	0.340885
592786816	0.576174
592790400	0.739678
592793984	0.800835
592797568	0.750562
592801216	0.612347
592804800	0.432941
592808384	0.273886
592812032	0.185112
592815616	0.202365
592819200	0.3219	
592822784	0.509126
592826368	0.721112
592830016	0.907387
592833600	1.015172
592837184	1.018903
592840832	0.908829
592844416	0.699512
592848000	0.432192
592851584	0.171326
592855168	-0.02061
592858816	-0.11017
592862400	-0.08975
592865984	0.022719
592869632	0.207566
592873216	0.410777
592876800	0.588043
592880384	0.698375
592883968	0.723045
592887616	0.676162
592891200	0.572386
592894784	0.456003
592898432	0.369434
592902016	0.339591
592905600	0.381824
592909184	0.486213
592912768	0.634546
592916416	0.782938
592920000	0.89316	
592923584	0.936439
592927232	0.900043
592930816	0.779252
592934400	0.600594
592937984	0.392153
592941568	0.198555
592945216	0.06067	
592948800	-0.00192
592952384	0.017337
592956032	0.107291
592959616	0.242899
592963200	0.382599
592966784	0.501854
592970368	0.583164
592974016	0.610113
592977600	0.598761
592981184	0.555061
592984832	0.496687
592988416	0.455621
592992000	0.453095
592995584	0.498246
592999168	0.5849	
593002816	0.678595
593006400	0.761864
593009984	0.81436	
593013632	0.822984
593017216	0.775768
593020800	0.675548
593024384	0.534481
593027968	0.375584
593031616	0.228888
593035200	0.11946	
593038784	0.063198
593042432	0.059782
593046016	0.110741
593049600	0.196032
593053184	0.296241
593056768	0.397545
593060416	0.481003
593064000	0.533453
593067584	0.551244
593071232	0.545149
593074816	0.52418	
593078400	0.50173	
593081984	0.495429
593085568	0.509769
593089216	0.545505
593092800	0.594848
593096384	0.645279
593100032	0.687805
593103616	0.711734
593107200	0.697003
593110784	0.632056
593114368	0.53027	
593118016	0.408331
593121600	0.28032	
593125184	0.170338
593128832	0.094386
593132416	0.062031
593136000	0.075716
593139584	0.137666
593143168	0.233096
593146816	0.347893
593150400	0.45792	
593153984	0.547143
593157632	0.597519
593161216	0.60195	
593164800	0.573701
593168384	0.524399
593171968	0.470885
593175616	0.432486
593179200	0.421525
593182784	0.444572
593186432	0.494035
593190016	0.559731
593193600	0.618215
593197184	0.65034	
593200768	0.644676
593204416	0.588859
593208000	0.482171
593211584	0.346183
593215232	0.215734
593218816	0.108578
593222400	0.047533
593225984	0.046849
593229568	0.113059
593233216	0.233782
593236800	0.380438
593240384	0.525475
593244032	0.637012
593247616	0.686765
593251200	0.671623
593254784	0.597271
593258368	0.488454
593262016	0.375752
593265600	0.289383
593269184	0.255096
593272832	0.278594
593276416	0.360443
