Title=potential temperature from YAEYAMA2 Test Case

Legend=(s_rho, eta_rho, xi_rho) = (-0.966667, 23.9666, 123.603)
ocean_time (seconds since 2000-01-01 00:00:00)	temp (Celsius)
590371200.000000	21.944271
590374784.000000	21.749550
590378368.000000	21.041546
590382016.000000	20.458540
590385600.000000	20.242088
590389184.000000	20.183838
590392832.000000	20.409119
590396416.000000	20.734636
590400000.000000	21.030636
590403584.000000	21.238070
590407168.000000	21.176733
590410816.000000	21.170494
590414400.000000	21.197962
590417984.000000	21.230619
590421632.000000	21.314911
590425216.000000	21.271090
590428800.000000	20.993546
590432384.000000	20.659113
590435968.000000	20.461126
590439616.000000	20.687836
590443200.000000	21.062405
590446784.000000	21.224928
590450432.000000	21.058218
590454016.000000	21.037399
590457600.000000	21.183928
590461184.000000	21.425524
590464768.000000	21.480467
590468416.000000	21.344408
590472000.000000	21.157738
590475584.000000	21.096708
590479232.000000	21.249657
590482816.000000	21.313213
590486400.000000	21.265551
590489984.000000	21.383055
590493568.000000	21.419092
590497216.000000	21.232836
590500800.000000	21.115244
590504384.000000	21.227278
590508032.000000	21.354511
590511616.000000	21.390072
590515200.000000	21.332121
590518784.000000	21.261442
590522368.000000	21.301603
590526016.000000	21.510677
590529600.000000	21.594786
590533184.000000	21.548964
590536832.000000	21.533339
590540416.000000	21.478416
590544000.000000	21.442444
590547584.000000	21.433001
590551168.000000	21.335283
590554816.000000	21.196486
590558400.000000	21.062416
590561984.000000	20.956984
590565632.000000	20.896536
590569216.000000	21.101555
590572800.000000	21.386219
590576384.000000	21.470209
590579968.000000	21.411005
590583616.000000	21.193474
590587200.000000	21.165724
590590784.000000	21.328028
590594432.000000	21.458820
590598016.000000	21.461340
590601600.000000	21.375019
590605184.000000	21.149033
590608768.000000	20.994194
590612416.000000	20.903936
590616000.000000	20.903034
590619584.000000	21.018335
590623232.000000	21.299631
590626816.000000	21.498896
590630400.000000	21.357031
590633984.000000	21.239491
590637568.000000	21.392775
590641216.000000	21.609415
590644800.000000	21.640785
590648384.000000	21.372324
590652032.000000	20.896170
590655616.000000	20.722094
590659200.000000	20.883966
590662784.000000	21.076540
590666368.000000	21.127331
590670016.000000	20.998119
590673600.000000	20.907799
590677184.000000	21.036728
590680832.000000	21.262590
590684416.000000	21.434095
590688000.000000	21.443197
590691584.000000	21.208279
590695168.000000	20.972717
590698816.000000	20.838247
590702400.000000	20.828342
590705984.000000	20.906416
590709632.000000	21.045416
590713216.000000	21.257355
590716800.000000	21.376307
590720384.000000	21.377504
590723968.000000	21.394915
590727616.000000	21.470100
590731200.000000	21.520594
590734784.000000	21.488623
590738432.000000	21.329988
590742016.000000	21.051506
590745600.000000	20.710535
590749184.000000	20.486668
590752768.000000	20.555611
590756416.000000	20.823534
590760000.000000	21.143038
590763584.000000	21.171066
590767232.000000	21.125191
590770816.000000	21.237858
590774400.000000	21.176929
590777984.000000	21.047533
590781568.000000	21.032825
590785216.000000	20.983946
590788800.000000	20.806467
590792384.000000	20.561186
590796032.000000	20.448631
590799616.000000	20.444422
590803200.000000	20.687920
590806784.000000	21.071653
590810368.000000	21.316988
590814016.000000	21.334473
590817600.000000	21.264948
590821184.000000	21.317785
590824832.000000	21.371595
590828416.000000	21.231806
590832000.000000	20.865221
590835584.000000	20.467113
590839168.000000	20.263458
590842816.000000	20.248369
590846400.000000	20.417850
590849984.000000	20.637774
590853632.000000	20.752745
590857216.000000	20.843826
590860800.000000	21.005396
590864384.000000	21.192097
590867968.000000	21.346758
590871616.000000	21.329048
590875200.000000	21.098257
590878784.000000	20.689949
590882432.000000	20.122009
590886016.000000	19.988775
590889600.000000	20.159594
590893184.000000	20.489981
590896768.000000	20.944862
590900416.000000	21.289814
590904000.000000	21.303988
590907584.000000	21.425039
590911232.000000	21.610241
590914816.000000	21.670404
590918400.000000	21.532707
590921984.000000	21.022530
590925568.000000	20.382706
590929216.000000	20.092026
590932800.000000	20.209814
590936384.000000	20.468328
590940032.000000	20.631302
590943616.000000	20.489697
590947200.000000	20.653555
590950784.000000	20.968983
590954368.000000	20.970299
590958016.000000	21.003958
590961600.000000	20.925819
590965184.000000	20.747736
590968832.000000	20.355179
590972416.000000	19.963985
590976000.000000	20.086090
590979584.000000	20.466307
590983168.000000	21.065790
590986816.000000	21.269112
590990400.000000	21.475552
590993984.000000	21.413982
590997632.000000	21.392822
591001216.000000	21.357647
591004800.000000	21.272739
591008384.000000	21.120586
591011968.000000	20.584661
591015616.000000	19.944323
591019200.000000	19.994905
591022784.000000	20.326448
591026432.000000	20.756847
591030016.000000	20.809046
591033600.000000	20.879377
591037184.000000	21.119240
591040768.000000	21.242161
591044416.000000	21.247641
591048000.000000	21.138964
591051584.000000	20.734829
591055232.000000	20.266685
591058816.000000	20.047258
591062400.000000	20.215750
591065984.000000	20.446825
591069568.000000	20.686285
591073216.000000	21.071470
591076800.000000	20.956110
591080384.000000	21.304390
591084032.000000	21.395372
591087616.000000	21.337252
591091200.000000	21.325617
591094784.000000	21.206596
591098368.000000	20.781420
591102016.000000	20.255426
591105600.000000	20.206429
591109184.000000	20.330160
591112832.000000	20.593502
591116416.000000	20.857368
591120000.000000	20.786463
