frc_time	Pair	Uwind	Vwind	Tair	Qair	rain	swrad	cloud	SST
0	1009.900024	-2.083491087	-1.870578766	28.79999924	83	0	0	0	29
0.041666668	1009.700012	-1.93467021	-1.736966014	28.79999924	85	0	0	0.033333335	29
0.083333336	1009.299988	-1.562618256	-1.402934074	28.5	86	0	0	0.06666667	29
0.125	1009.200012	-2.083491087	-1.870578766	28.5	86	0	0	0.100000001	29
0.166666672	1009	-1.488207936	-1.336127758	28.39999962	86	0	0	0.13333334	29
0.208333328	1008.700012	-1.266288519	-2.608929634	28.10000038	87	0	0	0.166666672	29
0.25	1008.900024	-0.785972238	-1.619335532	28	88	0	5.555555344	0.200000003	29
0.291666657	1009.299988	-0.87330246	-1.799261689	28.10000038	88	0	63.88888931	0.333333343	29
0.333333343	1009.5	-1.190566301	-1.068902135	29.20000076	82	0	230.5555573	0.466666669	29
0.375	1009.900024	-1.26497674	-1.13570857	29.5	82	0	336.1111145	0.600000024	29
0.416666657	1010.200012	-4.495833397	0.193600044	31.10000038	73	0	655.555542	0.566666663	29
0.458333343	1010	-3.19703722	0.137671143	32	69	0	905.555542	0.533333361	29
0.5	1009.900024	-3.817034006	1.75221312	32.5	70	0	1036.111084	0.5	29
0.541666687	1009.400024	-2.999098301	1.376738906	31.60000038	70	0	519.444458	0.5	29
0.583333313	1009	-3.077637434	3.283009052	32.29999924	68	0	1036.111084	0.5	29
0.625	1009	-1.637028694	-1.46974051	29.70000076	76	0	475	0.5	29
0.666666687	1008.700012	0.038728975	1.799583316	31.79999924	71	0	286.1111145	0.533333361	29
0.708333313	1008.700012	-1.846582413	1.96980536	30.79999924	74	0	450	0.566666663	29
0.75	1008.599976	-2.362925768	1.084703326	30.29999924	74	0	172.222229	0.600000024	29
0.791666687	1009	-2.272044182	1.042984009	30.10000038	76	0	61.11111069	0.566666663	29
0.833333313	1009.400024	-2.197962999	0.094648913	30	77	0	13.88888931	0.533333361	29
0.875	1010.099976	-1.637028694	-1.46974051	29.70000076	78	0	0	0.5	29
0.916666687	1010	-1.339387059	-1.202515006	29.20000076	80	0	0	0.433333337	29
0.958333313	1010	-1.506107688	-0.540036619	28.79999924	82	0	0	0.366666675	29
1	1010	-0.967335105	-0.868483007	28.79999924	81	0	0	0.300000012	29
1.041666627	1009.700012	0.034425754	1.599629641	28.79999924	78	0	0	0.233333334	29
1.083333373	1009.099976	-0.090311833	-1.397083998	28.70000076	80	0	0	0.166666672	29
1.125	1008.900024	-0.032254227	-0.498958588	28.5	82	0	0	0.100000001	29
1.166666627	1008.599976	-0.392986119	-0.809667766	28.29999924	83	0	0	0.06666667	29
1.208333373	1008.5	0.260759592	-0.303322315	28.29999924	83	0	0	0.033333335	29
1.25	1008.700012	-0.096762672	-1.496875763	27.79999924	86	0	2.777777672	0	29
1.291666627	1009	-0.06186714	-0.078564987	28.20000076	83	0	50	0.166666672	29
1.333333373	1009.200012	-0.019352535	-0.299375147	29.10000038	78	0	213.8888855	0.333333343	29
1.375	1009.5	1.018517256	0.415478766	29.20000076	77	0	230.5555573	0.5	29
1.416666627	1009.799988	0.914348483	2.1104424	30.70000076	73	0	413.8888855	0.433333337	29
